ID,Abstract Title,Primary Drug,Secondary Drug,Comparator Drug,
1,Comparison of axi-cel versus liso-cel as 2nd line therapy for relapsed/refractory large B-cell lymphoma in real-life: A lysa study from the descar-T registry,Axicabtagene Ciloleucel,,Lisocabtagene Maraleucel,
2,Sustained clinical benefit of glofitamab plus gemcitabine and oxaliplatin (GemOx) versus rituximab plus GemOx (R-GemOx) in patients with relapsed/refractory (R/R) diffuse large B-cell lymphoma (DLBCL): 3-year follow-up of STARGLO,"GemOx, Glofitamab",,"GemOx, Rituximab",
3,"Real-world effectiveness of polatuzumab vedotin plus rituximab, cyclophosphamide, doxorubicin and prednisone (R-CHP) compared with rituximab, cyclophosphamide, doxorubicin, vincristine and prednisone (R-CHOP) among elderly Medicare beneficiaries with diffuse large B-cell lymphoma (DLBCL) in the United States","Polatuzumab Vedotin, R-CHP",,R-CHOP,
4,Long-term follow-up with sustained progression-free survival (PFS) benefit after subcutaneous (SC) mosunetuzumab in combination with polatuzumab vedotin compared with rituximab plus polatuzumab vedotin in patients with relapsed or refractory (R/R) B-cell non-Hodgkin lymphoma,"Mosunetuzumab, Polatuzumab Vedotin",,"Polatuzumab Vedotin, Rituximab",
5,Glofitamab plus gemcitabine and oxaliplatin (GemOx) vs rituximab (R)-GemOx in patients with relapsed/refractory (R/R) diffuse large B-cell lymphoma (DLBCL): Efficacy and safety in patient subgroups,Gemox,,R-Gemox,
6,Zilovertamab vedotin plus R-CHP versus R-CHOP for first-line treatment of diffuse large B-cell lymphoma: The phase 3 waveline-010 study,"R-Chp, Zilovertamab Vedotin",,RCHOP,
7,"Zilovertamab vedotin plus R-CHP versus polatuzumab vedotin plus R-CHP as first-line therapy in participants with germinal center B-cell diffuse large B-cell lymphoma (DLBCL): The randomized, open-label, Phase 2 waveline-011 Study","R-Chp, Zilovertamab Vedotin",,"Polatuzumab Vedotin, R-Chp",
8,"SOUNDTRACK-F1: A phase 3, randomized, open-label study of surovatamig (AZD0486) plus rituximab versus chemotherapy plus rituximab in patients with previously untreated follicular lymphoma","Rituximab, Surovatamig",,Rituximab,
9,"Treatment inequities in newly diagnosed diffuse large B-cell lymphoma (DLBCL): Comparing polatuzumab vedotin in combination with rituximab, cyclophosphamide, doxorubicin and prednisone (Pola-R-CHP) vs rituximab in combination with cyclophosphamide, doxorubicin, vincristine and prednisone (R-CHOP) among Medicare beneficiaries",Pola-R-CHP,,R-CHOP,
10,"Improvements in health-related quality of life (HRQoL) in the SUNMO study: Subcutaneous (SC) mosunetuzumab plus polatuzumab vedotin (Mosun-Pola) vs rituximab, gemcitabine and oxaliplatin (R-GemOx) in patients with relapsed/refractory (R/R) large B-cell lymphoma (LBCL) after at least one prior therapy","Mosunetuzumab, Polatuzumab Vedotin",,"Gemcitabine, Oxaliplatin, Rituximab",
11,"A prospective, multicenter, randomized, controlled clinical trial comparing polatuzumab vedotin, zanubrutinib, lenalidomide, and rituximab (Pola-ZR2) versus zanubrutinib, lenalidomide, and rituximab (ZR2) in the treatment of previously untreated, elderly patients with diffuse large B-cell lymphoma (NCT06522555)","Lenalidomide, Polatuzumab Vedotin, Rituximab, Zanubrutinib",,"Lenalidomide, Rituximab, Zanubrutinib",
12,"Polatuzumab vedotin in combination with rituximab, cyclophosphamide, doxorubicin and prednisone (Pola R+CHP) results in similar clinical outcomes than rituximab and dose adjusted etoposide, prednisone, vincristine, cyclophosphamide, and doxorubicin (R+DA-EPOCH) in patients with high-risk features diffuse large B-cell lymphoma (DLBCL): A single institution experience.",Pola R-CHP,,R-DA-EPOCH,
13,Comparative safety and effectiveness of apixaban versus warfarin in antiphospholipid syndrome with chronic kidney disease: A real-world propensity-matched cohort study,Apixaban,,Warfarin,
14,Long-term responders from the Phase 3 dreamm-7 study of belantamab mafodotin plus bortezomib and dexamethasone vs daratumumab plus bortezomib and dexamethasone in Relapsed/Refractory multiple myeloma,"Belantamab Mafodotin, Bortezomib, Dexamethasone",,"Bortezomib, Daratumumab, Dexamethasone",
15,Outcomes of elderly patients with newly diagnosed multiple myeloma (NDMM): A retrospective comparison of daratumumab-based induction versus autologous stem cell transplant (autoSCT),Daratumumab,,Autologous Stem Cell Transplant,
16,Comparative effectiveness and safety of apixaban vs. rivaroxaban in patients with cirrhosis and portal vein thrombosis: An analysis of real-world data,Apixaban,,Rivaroxaban,
17,Comparative effectiveness of R-minichop versus R-CHOP in older patients with diffuse large B-cell lymphoma: A propensity score-matched analysis from a real-world grupo de estudio latinoamericano de linfoproliferativos (GELL) cohort,R-Minichop,,R-Chop,
18,Longer survival with tagraxofusp versus venetoclax in patients with blastic plasmacytoid dendritic cell neoplasm (BPDCN): Results of a real-world analysis,Tagraxofusp,,Venetoclax,
19,A retrospective analysis of outcomes of high-risk myelodysplastic syndrome patients treated with upfront decitabine/cedazuridine versus hypomethylating agents with venetoclax utilizing real-world data,"Cedazuridine, Decitabine",,Venetoclax,
